city_o,x_o,y_o,city_d,x_d,y_d,cov
4.0,108.394647634,34.784110229,3.0,107.205039,34.3777853636,1187.0
2.0,109.03913347,35.1957759051,7.0,107.107316007,33.0888459133,1195.0
3.0,107.205039,34.3777853636,4.0,108.394647634,34.784110229,1224.0
7.0,107.107316007,33.0888459133,2.0,109.03913347,35.1957759051,1325.0
3.0,107.205039,34.3777853636,7.0,107.107316007,33.0888459133,1409.0
7.0,107.107316007,33.0888459133,3.0,107.205039,34.3777853636,1455.0
4.0,108.394647634,34.784110229,7.0,107.107316007,33.0888459133,1655.0
7.0,107.107316007,33.0888459133,4.0,108.394647634,34.784110229,1817.0
6.0,109.320863339,36.4370784552,5.0,109.855716062,34.9480431876,2304.0
5.0,109.855716062,34.9480431876,6.0,109.320863339,36.4370784552,2306.0
1.0,108.796549128,34.1057933022,10.0,109.906097391,33.6459697715,3293.0
10.0,109.906097391,33.6459697715,1.0,108.796549128,34.1057933022,3310.0
2.0,109.03913347,35.1957759051,5.0,109.855716062,34.9480431876,3564.0
5.0,109.855716062,34.9480431876,2.0,109.03913347,35.1957759051,3614.0
1.0,108.796549128,34.1057933022,5.0,109.855716062,34.9480431876,5055.0
5.0,109.855716062,34.9480431876,1.0,108.796549128,34.1057933022,5153.0
10.0,109.906097391,33.6459697715,2.0,109.03913347,35.1957759051,5846.0
2.0,109.03913347,35.1957759051,1.0,108.796549128,34.1057933022,5928.0
2.0,109.03913347,35.1957759051,10.0,109.906097391,33.6459697715,5979.0
1.0,108.796549128,34.1057933022,2.0,109.03913347,35.1957759051,6107.0
